rbi,hr,obp,avg,age,obp pred,"obp	real",error
69,23,0.384,0.241,1985,0.347436803,0.374,0.026563197
64,19,0.316,0.231,1980,0.343238648,0.415,0.071761352
68,25,0.335,0.243,1984,0.346744511,0.322,-0.024744511
52,10,0.288,0.225,1986,0.328468486,0.33,0.001531514
69,19,0.312,0.243,1993,0.341120166,0.319,-0.022120166
5,1,0.212,0.161,1984,0.289216718,0.274,-0.015216718
53,19,0.32,0.271,1991,0.330923296,0.287,-0.043923296
52,9,0.357,0.299,1987,0.329338779,0.364,0.034661221
68,27,0.384,0.279,1993,0.344744553,0.35,0.005255447
60,16,0.329,0.249,1983,0.338497667,0.395,0.056502333
26,1,0.361,0.29,1989,0.306451747,0.297,-0.009451747
77,28,0.352,0.264,1993,0.350430147,0.281,-0.069430147
72,33,0.442,0.306,1991,0.351509137,0.46,0.108490863
64,25,0.331,0.251,1991,0.340972124,0.259,-0.081972124
38,12,0.33,0.276,1989,0.318656827,0.276,-0.042656827
79,22,0.326,0.246,1985,0.352469571,0.325,-0.027469571
102,24,0.344,0.264,1992,0.365350152,0.438,0.072649848
119,39,0.375,0.288,1980,0.384156315,0.342,-0.042156315
101,26,0.32,0.272,1992,0.364845779,0.354,-0.010845779
21,6,0.298,0.251,1990,0.302506109,0.29,-0.012506109
35,9,0.272,0.244,1983,0.316681954,0.298,-0.018681954
76,8,0.354,0.275,1983,0.347262292,0.366,0.018737708
130,37,0.373,0.309,1991,0.385843837,0.374,-0.011843837
56,14,0.325,0.281,1991,0.331448442,0.31,-0.021448442
0,0,0.21,0.125,1989,0.282639896,0.222,-0.060639896
120,36,0.404,0.297,1987,0.382152624,0.389,0.006847376
6,2,0.225,0.198,1985,0.290209777,0.194,-0.096209777
15,5,0.272,0.223,1987,0.298354862,0.239,-0.059354862
59,22,0.285,0.238,1991,0.335398184,0.301,-0.034398184
45,9,0.361,0.246,1989,0.323443728,0.367,0.043556272
2,0,0.286,0.245,1991,0.285108931,0.075,-0.210108931
38,8,0.291,0.207,1988,0.316702251,0.256,-0.060702251
97,23,0.338,0.28,1982,0.365583334,0.374,0.008416666
38,17,0.36,0.255,1984,0.323403369,0.338,0.014596631
36,3,0.314,0.292,1992,0.312172085,0.294,-0.018172085
75,30,0.252,0.204,1994,0.34707375,0.326,-0.02107375
35,13,0.343,0.221,1983,0.319803531,0.338,0.018196469
52,17,0.336,0.268,1983,0.333392615,0.313,-0.020392615
62,9,0.286,0.237,1988,0.334318626,0.252,-0.082318626
